,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
137,137,2,4466706.0,33843.0,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,2,15.7,12.64,0.213,0.233,0.555
138,138,10,32543.0,2.0,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,2,9.19,12.91,0.17,0.28271090047393366,0.5652830188679244
139,139,0,2832224.0,1564116.0,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,0,21.59,6.95,0.206,0.214,0.58
140,140,4,9439.0,102.0,92.5,39.22,0.0,7.35,3400.0,97.0,236.06143497757847,20.0,0.0,80.0,2,17.59,7.1,0.15084433962264152,0.28271090047393366,0.5652830188679244
141,141,6,33241259.0,446550.0,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,2,21.98,5.58,0.217,0.357,0.426
142,142,9,19686505.0,801590.0,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2,35.18,21.35,0.262,0.348,0.39
143,144,9,2044147.0,825418.0,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,0,24.32,18.86,0.097,0.315,0.588
144,145,8,13287.0,21.0,632.7,142.86,0.0,9.95,5000.0,82.83827751196175,143.0,0.0,0.0,100.0,2,24.76,6.7,0.15084433962264152,0.28271090047393366,0.5652830188679244
145,146,0,28287147.0,147181.0,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,2,30.98,9.31,0.38,0.21,0.41
146,147,10,16491461.0,41526.0,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,4,10.9,8.68,0.021,0.244,0.736
147,148,4,221736.0,960.0,231.0,37.92,-0.41,10.03,11400.0,96.7,365.3,10.0,0.0,90.0,2,14.78,6.45,0.01,0.15,0.84
148,149,8,219246.0,19060.0,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,2,18.11,5.69,0.15,0.088,0.762
149,150,8,4076140.0,268680.0,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,4,13.76,7.53,0.043,0.273,0.684
150,151,4,5570129.0,129494.0,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2,24.51,4.45,0.165,0.275,0.56
